objectid,street_num,street_name,longitude,latitude,meter_type,point
204342,406,EMBARCADERO SOUTH,-122.3885190018,37.7892766007,-,"(37.789276601437024, -122.38851900199712)"
204372,20,HARRISON ST,-122.38919229780001,37.7891524983,SS,"(37.789152498267356, -122.3891922976899)"
204425,129,02ND ST,-122.398948101,37.7874373988,SS,"(37.78743739873202, -122.39894810071807)"
204428,408,FOLSOM ST,-122.39394319959999,37.787842898499996,-,"(37.787842899136464, -122.39394320015403)"
204445,476,SPEAR ST,-122.38845879739999,37.787964302,SS,"(37.78796430219613, -122.38845879643749)"
204489,64,MINNA ST,-122.39836631899999,37.7883246054,-,"(37.78832460455394, -122.39836631955768)"
204495,179,01ST ST,-122.3963485991,37.7889001024,SS,"(37.78890010197762, -122.39634859855781)"
204500,411,SUTTER ST,-122.4074486026,37.7893083011,SS,"(37.789308301223045, -122.40744860254668)"
204540,408,HOWARD ST,-122.3955179022,37.7890395996,SS,"(37.78903960043434, -122.39551790171596)"
204572,181,01ST ST,-122.3962894005,37.7888526999,SS,"(37.788852700064005, -122.39628939981442)"
204589,404,FOLSOM ST,-122.3938565028,37.787911401,-,"(37.78791140076005, -122.39385650298796)"
204594,233,FREMONT ST,-122.3943033979,37.788676400599996,SS,"(37.788676400706116, -122.39430339777397)"
204613,208,STOCKTON ST,-122.4065835007,37.7878587012,-,"(37.78785870128484, -122.40658350121856)"
204631,114,NEW MONTGOMERY ST,-122.4001054016,37.7870404989,MS,"(37.78704049912114, -122.4001054015922)"
204634,1,NATOMA ST,-122.3966959004,37.788816099,-,"(37.7888160986544, -122.39669590025669)"
204729,453,EMBARCADERO SOUTH,-122.3876605899,37.788159079,SS,"(37.788159079112994, -122.38766059004972)"
204740,120,JESSIE ST,-122.4009540972,37.7880103019,MS,"(37.78801030181884, -122.40095409651131)"
204754,450,SPEAR ST,-122.3887415023,37.7881888979,SS,"(37.78818889827445, -122.38874150247548)"
204824,565,HOWARD ST,-122.3974697902,37.7872760305,SS,"(37.78727603014233, -122.39746979047477)"
